#,Company,Symbol,Weight,      Price,Chg,% Chg
1,Apple Inc.,AAPL,6.575191,   118.56,-0.47,(-0.39%)
2,Microsoft Corporation,MSFT,5.806213,   223.67,0.38,-0.17%
3,Amazon.com Inc.,AMZN,4.859934,"   3,309.50",-12.5,(-0.38%)
4,Facebook Inc. Class A,FB,2.434439,   293.05,-1.63,(-0.55%)
5,Alphabet Inc. Class A,GOOGL,1.819666,"   1,762.04",-0.47,(-0.03%)
6,Alphabet Inc. Class C,GOOG,1.778936,"   1,763.50",0.13,-0.01%
7,Berkshire Hathaway Inc. Class B,BRK.B,1.41296,   209.00,1.55,-0.75%
8,Johnson & Johnson,JNJ,1.264352,   142.98,3.22,-2.30%
9,Procter & Gamble Company,PG,1.217993,   142.50,0.12,-0.08%
10,NVIDIA Corporation,NVDA,1.201251,   582.51,16.11,-2.84%
11,UnitedHealth Group Incorporated,UNH,1.157654,   350.49,-3.91,(-1.10%)
12,Visa Inc. Class A,V,1.144982,   198.60,0.96,-0.49%
13,JPMorgan Chase & Co.,JPM,1.093215,   103.05,-1.3,(-1.25%)
14,Home Depot Inc.,HD,1.057298,   284.35,-1.5,(-0.52%)
15,Mastercard Incorporated Class A,MA,0.960766,   313.27,-3.26,(-1.03%)
16,Verizon Communications Inc.,VZ,0.827174,   58.54,0.39,-0.67%
17,PayPal Holdings Inc,PYPL,0.825072,   203.15,-1.41,(-0.69%)
18,Adobe Inc.,ADBE,0.818663,   496.00,-0.47,(-0.09%)
19,salesforce.com inc.,CRM,0.814023,   260.32,0.1,-0.04%
20,Walt Disney Company,DIS,0.788672,   127.21,0.25,-0.20%
21,Netflix Inc.,NFLX,0.778528,   514.75,0.99,-0.19%
22,Thermo Fisher Scientific Inc.,TMO,0.699933,   530.00,15.24,-2.96%
23,Merck & Co. Inc.,MRK,0.699251,   80.53,0.07,-0.09%
24,Pfizer Inc.,PFE,0.695127,   36.57,0.18,-0.49%
25,Comcast Corporation Class A,CMCSA,0.694994,   44.54,0.19,-0.43%
26,Abbott Laboratories,ABT,0.690989,   114.42,0.89,-0.78%
27,Walmart Inc.,WMT,0.684807,   145.97,2.5,-1.74%
28,AT&T Inc.,T,0.673792,   27.46,-0.05,(-0.18%)
29,Intel Corporation,INTC,0.666809,   45.43,-0.25,(-0.55%)
30,PepsiCo Inc.,PEP,0.6571,   138.38,0.33,-0.24%
31,Coca-Cola Company,KO,0.657026,   49.55,0.11,-0.22%
32,Bank of America Corp,BAC,0.645016,   24.35,-0.26,(-1.06%)
33,Costco Wholesale Corporation,COST,0.584721,   385.68,0.45,-0.12%
34,AbbVie Inc.,ABBV,0.568335,   92.41,-1.28,(-1.37%)
35,Qualcomm Inc,QCOM,0.563984,   145.08,-0.33,(-0.23%)
36,NIKE Inc. Class B,NKE,0.55382,   129.01,-0.69,(-0.53%)
37,McDonald's Corporation,MCD,0.553315,   217.79,1.48,-0.68%
38,Cisco Systems Inc.,CSCO,0.541799,   37.47,0.24,-0.64%
39,Broadcom Inc.,AVGO,0.524929,   383.09,2.22,-0.58%
40,Danaher Corporation,DHR,0.521397,   245.46,5.12,-2.13%
41,Accenture Plc Class A,ACN,0.511754,   236.29,2.3,-0.98%
42,NextEra Energy Inc.,NEE,0.503298,   75.57,0.82,-1.10%
43,Bristol-Myers Squibb Company,BMY,0.49394,   63.51,-0.24,(-0.38%)
44,Texas Instruments Incorporated,TXN,0.48979,   157.40,1.84,-1.18%
45,Exxon Mobil Corporation,XOM,0.482122,   32.84,-0.33,(-0.99%)
46,Medtronic Plc,MDT,0.480404,   103.56,-0.45,(-0.43%)
47,Chevron Corporation,CVX,0.477139,   71.14,-1,(-1.39%)
48,Amgen Inc.,AMGN,0.467048,   231.67,-0.3,(-0.13%)
49,Linde plc,LIN,0.451057,   250.32,0.56,-0.22%
50,Union Pacific Corporation,UNP,0.448215,   190.07,-2,(-1.04%)
51,Honeywell International Inc.,HON,0.442147,   184.27,0.99,-0.54%
52,Lowe's Companies Inc.,LOW,0.439647,   168.52,-0.73,(-0.43%)
53,Eli Lilly and Company,LLY,0.39713,   142.64,-2.88,(-1.98%)
54,United Parcel Service Inc. Class B,UPS,0.39706,   167.68,4.12,-2.52%
